Vera Pedro Alves Miranda,934576202,968774378,verbal2910@outlook.com
Tomás Vera Garcia Ferreira,921957705,920120892,tomiro2834@sapo.pt
Tomás Francisca Neto Melo,920167738,929109147,tomlos2779@sapo.pt
Tiago Sá Lourenço,935138223,965184474,tiaboa1269@outlook.com
Tiago Matilde Pinho Barbosa,961727025,967137122,tiaora2724@sapo.pt
Tiago Marco Gonçalves Brito,963589494,965651052,tiaboa1549@sapo.pt
Tiago João Pereira Gomes,299819443,920829499,tiairo2834@outlook.com
Tiago André Carvalho Santos,931766194,935815866,tiaira2659@gmail.com
Santiago Marco Cruz Nunes,965651052,966368981,sanboa1950@sapo.pt
Santiago Leal Matias,918595256,939034152,sanboa1950@sapo.pt
Rodrigo Rodrigo Loureiro Teixeira,934540642,915574498,rodria2415@gmail.com
Rodrigo Mariana Esteves Ramos,918051060,966203362,rodboa1349@sapo.pt
Rodrigo Inês Branco Costa,926934449,964307079,rodboa1049@sapo.pt
Rodrigo Diana Pires Neves,932942747,934979602,rodrem2009@sapo.pt
Ricardo Carolina Guerreiro Castro,924488501,925246416,ricboa1748@outlook.com
Pedro João Castro Rodrigues,914035074,935089632,pednto2334@gmail.com
Miguel Santiago Henriques Lourenço,934524575,914412029,migboa1150@sapo.pt
Miguel Pereira Morais,922667954,926770275,migboa1900@outlook.com
Miguel Leonor Domingues Magalhães,968897222,966458655,migrem2009@gmail.com
Miguel Diogo Fernandes Pacheco,967137122,938282700,migbal2914@sapo.pt
Miguel Daniela Magalhães Cunha,915242913,911579295,migboa1800@gmail.com
Matilde Sara Lourenço Baptista,917611732,939919167,matboa1200@outlook.com
Matilde Lurdes Castro Loureiro,913492766,964111504,matboa1950@gmail.com
Martim Bruno Raposo Borges,920120892,964417168,marlos2775@outlook.com
Martim Ana Baptista Azevedo,911166669,939819443,marboa1000@outlook.com
Mariana Santiago Amorim Gomes,966373581,936973199,marmar2300@gmail.com
Mariana Carolina Vicente Batista,914412029,964115155,marboa1200@outlook.com
Maria Martim Barbosa Esteves,964648106,937693125,marora2654@sapo.pt
Marco Ribeiro Valente,919985800,928672436,marira2655@sapo.pt
Marco Joana Santos Amaral,932911610,935848306,marlos2775@gmail.com
Marco Ferreira Sá,934979602,917651006,marira2659@gmail.com
Luís Sofia Torres Lopes,919441524,963669868,luiboa1350@sapo.pt
Luís Campos Neto,935815866,926958025,luinto2330@gmail.com
Luís Ana Soares Anjos,929484323,963132795,luiboa1300@sapo.pt
Leonor Rodrigo Rocha Vaz,964307079,915047705,leoboa1949@gmail.com
Leonor Duarte Ramos Melo,923596358,935138223,leoboa1250@sapo.pt
João Ana Lima Loureiro,922466068,932240266,joaada2814@outlook.com
José Tomás Carneiro Leite,910640335,921433280,josboa1350@outlook.com
José Machado Anjos,960006116,968240344,josboa1350@outlook.com
José Gonçalves Esteves,966368981,966272040,josbra3000@sapo.pt
José Garcia Ribeiro,921610847,968126436,josira2659@outlook.com
José Catarina Pinho Neves,937693125,913254788,josboa1449@outlook.com
Joana Campos Branco,964417168,961670040,joaboa1067@outlook.com
Inês Inês Moreira Barbosa,967589975,932942747,ineboa1649@outlook.com
Inês André Correia Cunha,966818271,923596358,ineboa1149@outlook.com
Gabriel Sara Morais Leal,965921199,921681363,gabnto2330@outlook.com
Gabriel Ribeiro Tavares,934988076,929766199,gabira2655@gmail.com
Gabriel Leonor Guerreiro Antunes,915947328,965921199,gabbal2904@outlook.com
Gabriel Duarte Pinto Amaral,963869258,918051060,gabrem2009@sapo.pt
Francisco Vera Melo Henriques,929725107,921610847,fraboa1349@outlook.com
Francisco Tomás Barros Pinto,963280705,963869258,fraria2424@outlook.com
Francisco Tiago Cardoso Simões,935848306,960006116,fraboa1950@sapo.pt
Francisco Sofia Paiva Lopes,916192739,931766194,fraboa1149@gmail.com
Francisco Mariana Matias Miranda,963908101,917611732,fraboa1067@sapo.pt
Francisco Diogo Lourenço Mendes,962900518,929195602,frarem2000@outlook.com
Francisca Mariana Coelho Marques,963132795,918595256,fraboa1050@sapo.pt
Francisca João Machado Miranda,911579295,933692996,fravas2350@gmail.com
Francisca Diana Valente Silva,938667475,913492766,fraras2784@outlook.com
Francisca Diana Abreu Ferreira,962988085,968892766,fraria2410@outlook.com
Duarte Luís Moura Rodrigues,929109147,911763111,duaboa1959@gmail.com
Duarte Inês Lopes Mota,963104327,938165259,duaica2825@gmail.com
Duarte Duarte Gaspar Pereira,910689905,934540642,duaboa1949@sapo.pt
Diogo Maria Fonseca Simões,932975765,914035074,dioboa1700@outlook.com
Diogo Gabriel Ramos Anjos,934951508,919441524,dionto2334@outlook.com
Daniela Tiago Araújo Castro,914385256,966373581,danica2825@outlook.com
Daniela Marco Baptista Amorim,928355989,922466068,daniro2830@outlook.com
Daniela Lurdes Lopes Cruz,918516524,914723656,danboa1949@outlook.com
Catarina Francisco Cruz Barbosa,938165259,914502172,catica2825@outlook.com
Catarina Carolina Amaral Oliveira,925246416,912739528,catiro2834@sapo.pt
Carolina Lurdes Carvalho Ferreira,928479997,933312523,carboa1067@gmail.com
Carolina Catarina Araújo Mendes,921433280,936801172,carboa1700@gmail.com
Carolina André Anjos Santos,936684178,962900518,carlos2775@outlook.com
Carolina Ana Tavares Pacheco,911249295,934209642,carboa1769@sapo.pt
Bruno Joana Gaspar Melo,968774378,912840680,bruboa1300@outlook.com
Beatriz Sara Gonçalves Jesus,937567411,927776976,beaboa1500@outlook.com
Beatriz Mariana Matias Ribeiro,933312523,919985800,beaboa1649@sapo.pt
Beatriz Diogo Cruz Ramos,934209642,934988076,beaora2614@outlook.com
Beatriz Baptista Campos,921681363,917457301,beabal2914@sapo.pt
Beatriz Afonso Santos Ferreira,927776976,937455457,beaboa1098@outlook.com
André Rodrigo Henriques Ferreira,914514262,962988085,andria2424@sapo.pt
Ana Tiago Barbosa Leal,914723656,922667954,anaboa1998@sapo.pt
Ana Daniela Ribeiro Machado,923906466,929725107,anaboa1099@sapo.pt
Afonso Miranda Torres,912840680,968453282,aforia2419@gmail.com
Afonso Luís Simões Carneiro,928000701,968897222,aforem2009@sapo.pt
Afonso José Carvalho Costa,217455457,969025575,afoica2825@sapo.pt
Afonso Freitas Simões,938282700,933180718,afoada2800@gmail.com
